time,reference,lqr_position,lqr_voltage,rnn_position,rnn_voltage
0.0,0.007,0.007,-0.0,0.007,0.007352670694152384
0.005,0.007012566349943518,0.007000002235766865,-0.01051843681594481,0.006999995481064513,0.01223463666039127
0.01,0.007025132575862236,0.0070000296981914635,-0.017055128627766283,0.00699995983284372,0.01834067762496173
0.015,0.0070376985537325765,0.0070001354890207295,-0.020291860304864538,0.006999845978048375,0.024034393872877462
0.02,0.0070502641595334105,0.007000388765542329,-0.020793860900878147,0.006999585844648079,0.0294790708646193
0.025,0.007062829269247283,0.007000863701270222,-0.019029700628044016,0.0069990908455751484,0.034502656092755955
0.03,0.0070753937588616325,0.007001632207733064,-0.015387797145303111,0.006998251685140737,0.038911018482374056
0.035,0.00708795750437002,0.007002759402257444,-0.010190107933192874,0.006996937627699556,0.042406644392433336
0.04,0.00710052038177335,0.007004301049613897,-0.003703487599195615,0.006994995525665392,0.04477895848620986
0.045,0.007113082267081093,0.007006302394319813,0.0038508923767303083,0.006992248535507797,0.045878033110059446
0.05,0.007125643036312513,0.00700879794671655,0.012289731492099304,0.006988494663432485,0.04544211500139553
0.055,0.00713820256549789,0.007011811898764405,0.021461121792714533,0.006983504381817923,0.043131908713229035
0.06,0.007150760730679738,0.007015358932060105,0.03123917586294342,0.006977017821771332,0.03878340924342876
0.065,0.00716331740791404,0.007019445246609932,0.04151957260215661,0.006968741445496896,0.03211364105856843
0.07,0.00717587247327146,0.007024069688922172,0.05221586425633584,0.006958343781892893,0.022803367513104977
0.075,0.007188425802838571,0.007029224895595548,0.06325641482292674,0.006945450216939213,0.010585150544629399
0.08,0.007200977272719078,0.007034898396594697,0.07458186206757772,0.006929636616252066,-0.004945379630822938
0.085,0.007213526759035042,0.007041073643034109,0.08614301375143177,0.0069104217256767,-0.02404258729842319
0.09,0.0072260741379280985,0.0070477309392727,0.0978991039052581,0.006887258167136365,-0.047092868428337674
0.095,0.007238619285560683,0.0070548482698064045,0.10981634763193204,0.0068595212762719475,-0.07449012789175652
0.1,0.007251162078117253,0.007062402018889404,0.12186674341182108,0.006826495962933056,-0.10664713012523186
0.105,0.007263702391805512,0.007070367585832086,0.13402708059213397,0.006787360723309817,-0.14417645754397465
0.11,0.007276240102857623,0.0070787199021454745,0.1462781169648114,0.006741168742887165,-0.18783150391867923
0.115,0.007288775087531443,0.00708743385861084,0.1586038973302672,0.006686825821162434,-0.2389469727244585
0.12,0.007301307222111731,0.007096484651318461,0.1709911889155472,0.006623064991640833,-0.29932553460345174
0.125,0.00731383638291138,0.007105848056020383,0.18342901363896746,0.006548418925923713,-0.37212004013016275
0.13,0.00732636244627263,0.007115500639988778,0.19590826063350902,0.006461190857277335,-0.46201684724200326
0.135,0.007338885288568294,0.007125419920120348,0.20842136527768929,0.006359427489589932,-0.5756511819167702
0.14,0.007351404786202973,0.00713558447539347,0.2209620433350047,0.006240898037118968,-0.7220932748183059
0.145,0.00736392081561428,0.007145974021051688,0.23352507075356965,0.006103084829886505,-0.9177872110276502
0.15,0.007376433253274057,0.007156569451114266,0.24610610129500077,0.005943193205353477,-1.1728267376474386
0.155,0.007388941975689597,0.007167352855042842,0.2587015155025428,0.00575820424511703,-1.4677866201744243
0.16,0.00740144685940486,0.007178307513650546,0.27130829563016196,0.0055449270915622646,-1.7683031483688554
0.165,0.00741394778100169,0.0071894178786435226,0.283923922075938,0.0052999569628792,-2.0679331170931246
0.17,0.0074264446171010395,0.007200669539544962,0.29654628762702095,0.005019494048243929,-2.3832191339323745
0.17500000000000002,0.007438937244364181,0.007212049181173143,0.30917362645661717,0.004699139430200061,-2.7346455313736477
0.18,0.007451425539493927,0.007223544534328815,0.32180445533826335,0.004333733498141982,-3.115673889142119
0.185,0.007463909379235845,0.007235144321891992,0.33443752497756063,0.00391722916629921,-3.647003776079437
0.19,0.007476388640379479,0.007246838202130778,0.3470717797219636,0.003442583194637433,-4.072896422564116
0.195,0.007488863199759558,0.007258616710681057,0.35970632420786125,0.002901841303882562,-4.352666738773541
0.2,0.007501332934257217,0.007270471202361104,0.3723403957516186,0.0022853925581831636,-4.568946517544624
0.20500000000000002,0.007513797720801211,0.007282393793734477,0.3849733414962788,0.0015810413241320927,-4.659573621560968
0.21,0.00752625743636913,0.007294377307123146,0.39760459949546334,0.000773248372492515,-4.67567586965609
0.215,0.00753871195798861,0.007306415216595946,0.41023368305669183,-0.0001578384040208259,-4.679738494386633
0.22,0.0075511611627385525,0.00731850159631084,0.42286016778290436,-0.0012372859410386986,-4.681762299954804
0.225,0.007563604927750331,0.0073306310714689685,0.4354836808474889,-0.0024962271487353983,-4.682820993985392
0.23,0.007576043130209009,0.0073427987720405055,0.4481038921180698,-0.003972869297807596,-4.683640076438565
0.23500000000000001,0.007588475647354549,0.007355000289343556,0.4607205068105269,-0.005713752879021989,-4.684551866152794
0.24,0.0076009023564830285,0.007367231635494803,0.4733332594095524,-0.007775309839126591,-4.684838268976713
0.245,0.007613323134947843,0.007379489205701842,0.4859419086374429,-0.010225777460773338,-4.684862506169146
0.25,0.007625737860160924,0.007391769743329723,0.49854623329043024,-0.013147536615460313,-4.684799758770958
0.255,0.007638146409593946,0.007404070307646419,0.5111460287929918,-0.01663995294998307,-4.684694730937081
0.26,0.0076505486607795345,0.007416388244131864,0.5237411043463259,-0.0208228202584471,-4.684560079868008
0.265,0.007662944491312479,0.007428721157221546,0.5363312805685445,-0.025840526918544868,-4.684389746265629
0.27,0.0076753337788509355,0.007441066885347148,0.5489163875417754,-0.031867091354185965,-4.684171207580525
