time,position,velocity,current,reference,voltage
0,0.007,0,0,0.007,-0
0.01,0.00700029614421506,0.000111765826660434,-0.00219450641854148,0.00725116207811725,-0.17041685555936
0.02,0.00700388396957377,0.000702867336400905,-0.0059981646580656,0.00750133293425722,-0.207046497153426
0.03,0.00701629935949503,0.0018712903118697,-0.00867733976261823,0.0077495252583429,-0.151446555169488
0.04,0.00704290094543738,0.00351445774466136,-0.00883071347161739,0.00799475954865942,-0.0324909260554429
0.05,0.00708760754756429,0.00546314994648524,-0.0058752691935106,0.00823606797749979,0.129656594777035
0.06,0.00715261011376909,0.00754609127047803,0.000279609960589945,0.00847249821073871,0.32086395133463
0.07,0.00723850038530772,0.0096207990264526,0.00945368554109202,0.00870311716626029,0.531083318911255
0.08,0.00734465773598134,0.011578325128057,0.0213215805434697,0.00892701469640686,0.753104152273042
0.09,0.00746945328168923,0.0133482093311234,0.035496113884438,0.00914330717991599,0.981705073693793
0.1,0.00761087551699805,0.0148796645717317,0.0515698239408788,0.00935114100916989,1.21299903542452
0.11,0.00776636438535266,0.0161551974189369,0.0691622607305966,0.00954969595899476,1.443987045846
0.12,0.00793309159620719,0.0171812941700534,0.0879358160548618,0.00973818842371475,1.67222717667504
0.13,0.00810897561648402,0.0179331274810717,0.107508268027277,0.00991587450968565,1.8961542345665
0.14,0.00829107482061124,0.0184473380479227,0.127634952506536,0.0100820529711032,2.11393533431549
0.15,0.00847708255459671,0.0187360382545162,0.14804828415698,0.0102360679774998,2.32429556719449
0.16,0.00866506073087626,0.0187993234523358,0.168473205625008,0.0103773117020081,2.52638721790376
0.17,0.00885252658743685,0.018685856686426,0.188779824971961,0.0105052267201755,2.71870072068939
0.18,0.00903806800676031,0.0183855792473755,0.208719041027522,0.0106193082098641,2.90079317066168
0.19,0.00921980782768173,0.0179288617580251,0.228161262034549,0.010719105943553,3.07163906727589
0.2,0.00939614337924698,0.0173391781103204,0.246986124133824,0.0108042260651806,3.23033509895116
0.21,0.00956609450400753,0.016605631647278,0.264999254174691,0.0108743326445145,3.37668436777442
0.22,0.00972798086329677,0.0157734995871929,0.282170028547193,0.0109291490029148,3.50949004580407
0.23,0.009881112594526,0.0148287051652734,0.298330448018057,0.0109684588052579,3.62867593964721
0.24,0.0100243255796334,0.0137950546555687,0.313420191944875,0.0109921069137131,3.73354447531514
0.25,0.0101567167082965,0.0126865260786021,0.32737092524044,0.011,3.82357505463164
0.26,0.0102777694758587,0.0114951608321313,0.340062560189102,0.0109921069137131,3.89875691198684
0.27,0.0103864632734098,0.0102542141101772,0.351497305117546,0.0109684588052579,3.95830932139609
0.28,0.0104825800111079,0.00894677663596966,0.361552484100307,0.0109291490029148,4.00248057797752
0.29,0.0105653081436835,0.00760175785546157,0.370235137333777,0.0108743326445145,4.03069355266745
0.3,0.0106344284313172,0.00621273698965214,0.377468261294966,0.0108042260651806,4.04309683361942
0.31,0.0106894781571424,0.00479423568711955,0.383236127858798,0.010719105943553,4.0395108324595
0.32,0.0107302128133526,0.00335116948813029,0.38750747814602,0.0106193082098641,4.0199781103563
0.33,0.0107564309168565,0.00188934995674338,0.390258155359084,0.0105052267201755,3.98460777234419
0.34,0.0107679612631183,0.000417697787727365,0.3914818303166,0.0103773117020081,3.93348425036741
0.35,0.0107647512179608,-0.00105920197423852,0.391165525386161,0.0102360679774998,3.86685628056209
0.36,0.0107467792618229,-0.00253417674899657,0.389311417800743,0.0100820529711032,3.78496693591681
0.37,0.0107140891411633,-0.00400047222802008,0.385926725538959,0.00991587450968565,3.68813089850256
0.38,0.0106668236723259,-0.00545418466447902,0.381017029724124,0.00973818842371476,3.5767827888783
0.39,0.010605090463835,-0.00688425752612429,0.374615979185022,0.00954969595899476,3.45124617322695
0.4,0.0105292207505937,-0.00829205977511227,0.366726953467256,0.00935114100916989,3.31217934021006
0.41,0.0104393791203624,-0.00966248268509233,0.357407885100634,0.00914330717991599,3.15992250768113
0.42,0.0103360766645729,-0.0110018272169135,0.34666112512689,0.00892701469640686,2.99533604506075
0.43,0.0102195314078805,-0.0122913976860172,0.33456641016522,0.00870311716626029,2.81878377667759
0.44,0.0100903727634438,-0.0135382629651077,0.321137310806056,0.00847249821073871,2.6312186026207
0.45,0.00994899858821573,-0.0147300270709221,0.306446134123464,0.00823606797749979,2.43323612550523
0.46,0.00979594679854679,-0.0158601198172139,0.290557737663337,0.00799475954865942,2.22555875082849
0.47,0.00963198144412139,-0.0169362275495743,0.273498199286231,0.0077495252583429,2.00929147437012
0.48,0.00945751461484904,-0.0179369519616709,0.255384503778791,0.00750133293425722,1.7849019680034
0.49,0.00927340504193495,-0.0188704954274715,0.23625394285211,0.00725116207811725,1.55353758629366
0.5,0.00908037220581505,-0.019733410147365,0.21617868929361,0.007,1.31614511737583
0.51,0.0088790370571388,-0.020511103260173,0.195273749931723,0.00674883792188275,1.07336897435762
0.52,0.00867032614326517,-0.0212109501985332,0.173588343337876,0.00649866706574278,0.826438987067024
0.53,0.00845502511801144,-0.0218282535065906,0.15121051088553,0.0062504747416571,0.576324105170784
0.54,0.00823402296386792,-0.0223600730484378,0.128242538655716,0.00600524045134058,0.323851005821319
0.55,0.00800816033078373,-0.0228038728796293,0.104769754384686,0.00576393202250021,0.0700781974494387
0.56,0.0077782062290593,-0.0231521828193178,0.0808892674658514,0.00552750178926129,-0.183974345748386
0.57,0.00754528969866549,-0.0234154441745308,0.0566770696416819,0.00529688283373971,-0.437224676237193
0.58,0.00731028372267513,-0.0235902215799812,0.0322324064565581,0.00507298530359314,-0.688695811298976
