time,position,velocity,current,reference,voltage
0,0.007,0,0,0.013,-6.09754008593162
0.01,0.00702672919928831,0.00736387550334356,-0.0860062083800346,0.013,-2.28410945297102
0.02,0.00716801218877707,0.0211876862921121,-0.0855811614832292,0.013,0.334915270694603
0.03,0.00744783301168262,0.0343253973116316,-0.0386092860535271,0.013,2.13317610529878
0.04,0.0078427151906795,0.0439869309971706,0.03028123184083,0.013,3.36750516788686
0.05,0.00831384120243484,0.0495889947669326,0.10631857810082,0.013,4.21458762685634
0.06,0.00882239339463122,0.0515663458478835,0.18104450144112,0.013,4.79594910815423
0.07,0.00933588519901194,0.050748140306452,0.25005590887269,0.013,5.1945830660926
0.08,0.00983079291638406,0.0479685082907762,0.311283585410215,0.013,5.46814702179227
0.09,0.0102912685735051,0.0439908895270636,0.364229467114879,0.013,5.65550917939518
0.1,0.0107084125250758,0.0393870971582348,0.409060375993029,0.013,5.78438695287631
0.11,0.0110784682656436,0.0346103942187473,0.446608634360116,0.013,5.8720874665852
0.12,0.0114008304373366,0.0299425300879945,0.477567174972412,0.013,5.93285218594301
0.13,0.0116779480328349,0.0255744144952708,0.502941955426106,0.013,5.97446908818484
0.14,0.011913783582861,0.0216061034201315,0.523667136670675,0.013,6.0022366061313
0.15,0.0121118902656833,0.0180900723983681,0.540389314619495,0.013,6.02168863152417
0.16,0.0122769473325239,0.0150329667394,0.553838751336619,0.013,6.03526246241988
0.17,0.0124138799013348,0.0124021457695993,0.564648080110401,0.013,6.04427310941641
0.18,0.0125265834835681,0.0101712830450272,0.573294456006825,0.013,6.05040921198039
0.19,0.0126186460752964,0.00830522740099855,0.580182071093468,0.013,6.0548166993018
0.2,0.012693675314342,0.0067503128998145,0.585663376566952,0.013,6.05779387105668
0.21,0.0127545818186448,0.00546344138422755,0.590017024221248,0.013,6.05978531574928
0.22,0.0128037727227787,0.00440908090698657,0.593472142610986,0.013,6.06121490372337
0.23,0.0128434066647409,0.00354773823526753,0.59620872099515,0.013,6.06220062320978
0.24,0.0128752524596171,0.00284603318287679,0.598369471036359,0.013,6.06284654441487
0.25,0.012900775091679,0.00227775016377178,0.600077219630572,0.013,6.06329268794149
0.26,0.0129212095325481,0.00181965065384325,0.601431378833172,0.013,6.06362803091791
0.27,0.0129375089317415,0.00145094395810441,0.602498111811933,0.013,6.06385487063122
0.28,0.0129504635170823,0.0011548836963212,0.603333853807774,0.013,6.0639937417216
0.29,0.0129607593849225,0.000917827191414333,0.603990898872767,0.013,6.06408403059964
0.3,0.0129689641305368,0.000728595887972224,0.604512876443115,0.013,6.06416179406962
0.31,0.0129754766954398,0.000577655795256064,0.604924143967572,0.013,6.06421660788548
0.32,0.0129806231951147,0.000457689442619206,0.605246325492215,0.013,6.06425251511653
0.33,0.0129846938922926,0.000362371941841364,0.605499385123305,0.013,6.06427682270793
0.34,0.0129879287128398,0.000286475770293233,0.60569982077725,0.013,6.06429576657345
0.35,0.0129904854587078,0.000226290596570917,0.605857413702933,0.013,6.06430906744367
0.36,0.0129924970376653,0.000178759742202199,0.605980660564465,0.013,6.06431790236965
0.37,0.0129940838535385,0.000141162090217863,0.606077448935449,0.013,6.06432405914409
0.38,0.0129953446008227,0.000111259044699631,0.606154210979848,0.013,6.06432891529431
0.39,0.0129963386438779,8.76316337175479e-05,0.606214522884104,0.013,6.0643323776321
0.4,0.0129971163915976,6.90930084243789e-05,0.606261492329839,0.013,6.06433465816507
0.41,0.0129977259937226,5.45279564254733e-05,0.606298162705014,0.013,6.06433617961213
0.42,0.012998211502442,4.29275383726881e-05,0.606327364607845,0.013,6.06433746468974
0.43,0.0129985972286043,3.37060592679836e-05,0.606350542038247,0.013,6.06433847677811
0.44,0.0129988986101306,2.64880871090753e-05,0.606368596943481,0.013,6.0643391751074
